foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state
200721133,THE BANK OF AMERICA CHARITABLE,NC,100.0,1.0,1,False
223769097,NSN Foundation Inc,NJ,100.0,1.0,2,False
411359579,US BANK FOUNDATION,WI,100.0,0.9999999999999671,3,False
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999998410682,4,False
770443347,Cisco Systems Foundation,CA,100.0,0.9999995799890679,5,True
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.999998714777613,6,False
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999570704942476,7,False
131684331,THE FORD FOUNDATION,NY,100.0,0.9999356547176165,8,False
800316636,GOOD KARMA FOUNDATION,CA,100.0,0.9998916192337539,9,True
873698354,JONATHAN PORT FOUNDATION,CA,100.0,0.99976725653162,10,True
461471404,ART & PRACTICE,CA,100.0,0.9997571642759547,11,True
770549288,THE ALLISON LEE CONDIT FOUNDATION,CA,100.0,0.9996535742214624,12,True
680395555,THE MORGAN SISKIYOU FOUNDATION,WA,100.0,0.9996033006684077,13,False
770210442,THE SIK-KEE AU FAMILY FOUNDATION,CA,100.0,0.9995993134600294,14,True
262856534,MASSEN-GREENE CHARITABLE TRUST,HI,100.0,0.9995487974466247,15,False
942566167,Nora Eccles Treadwell Charitable Trust,UT,100.0,0.9995117626580168,16,False
262856544,MASSEN-GREENE CHARITABLE FUND,HI,99.9,0.999493023599384,17,False
942911210,ROTARY CLUB OF PETALUMA FOUNDATION,CA,99.9,0.999487145061363,18,True
463559307,PEONY FOUNDATION INC,CA,99.9,0.9993828425711491,19,True
943272444,THE TAE FOUNDATION,CA,99.9,0.9993181503611215,20,True
346516721,FREEDOM FORGE CORP FOUNDATION KISH BANK,PA,99.9,0.9992958063662457,21,False
953663674,KOREAN AMERICAN UNITED FOUNDATION,CA,99.9,0.9991408236084673,22,True
816571909,HURLEY MEMORIAL COLLEGE SCHOLARSHIP,CA,99.9,0.9991183306253162,23,True
946073636,MARINI FAMILY TRUST,NV,99.9,0.9990704386955416,24,False
136123529,AMERICAN EXPRESS FOUNDATION,NY,99.9,0.9989299069401465,25,False
954797873,PETER AND CANDIS DOERKEN FOUNDATION,CA,99.9,0.9987401283959602,26,True
946079537,HARRISON MECHAM RELIEF FUND OF PETALUMA,CA,99.9,0.9987015749817251,27,True
205578380,MILDRED & MARIAN KIGER FOUNDATION,CA,99.9,0.9986447368810086,28,True
954438839,CARL W JOHNSON FOUNDATION,CA,99.9,0.9985632296588668,29,True
861941486,ALL FOR ARMENIA,CA,99.9,0.9985351251274391,30,True
453850225,R C BAKER FOUNDATION,CA,99.9,0.9985121587638919,31,True
943155521,GGS FOUNDATION,CA,99.8,0.9983375348519015,32,True
200422957,THE COLLET FOUNDATION,CA,99.8,0.998140257578374,33,True
237433359,AUTRY FOUNDATION,CA,99.8,0.9980658804196296,34,True
822535232,BARBARA KORSCH WARD FOUNDATION,CA,99.8,0.9980549576535368,35,True
237425882,THE AIDLIN FOUNDATION,CA,99.8,0.9979996532439112,36,True
954523232,THE CALIFORNIA ENDOWMENT,CA,99.8,0.9977385444301625,37,True
943343590,JOSEPH L BARBONCHIELLI AND,CA,99.7,0.997475922315528,38,True
208020006,Lin-Chang Family Foundation,CA,99.7,0.9973867488505128,39,True
882827921,ANDY WANG FAMILY FOUNDATION,CA,99.7,0.9972648293707872,40,True
873374164,GARY AND MARY WEST CHARITABLE TRUST,CA,99.7,0.9967381579229478,41,True
841408199,GEORGE AND BETH WOOD FOUNDATION,CA,99.7,0.9966780764164375,42,True
770437521,WATERFORD FOUNDATION,CA,99.6,0.996322158654921,43,True
824505043,SWIM FOR LIFE SRI LANKA,NJ,99.6,0.996023578311148,44,False
954279684,THE JESS AND PALMA MORGAN FOUNDATION,CA,99.6,0.995908872091653,45,True
207464063,DORIS & DONALD FISHER FOUNDATION,CA,99.6,0.995785093988543,46,True
943116041,The Upjohn Fund of San Francisco,DE,99.6,0.9957571411833039,47,False
824154533,PONY BARNES FOUNDATION,CA,99.6,0.9957435616531799,48,True
020657534,ANDRE & KATHERINE MERAGE FOUNDATION,CA,99.5,0.9953851973370645,49,True
946757910,MIKE & BEV GROENIGER COLLEGE SCHOLARSHIP,CA,99.5,0.9952972993944308,50,True
