foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state
200721133,THE BANK OF AMERICA CHARITABLE,NC,100.0,1.0,1,False
223769097,NSN Foundation Inc,NJ,100.0,1.0,2,False
411359579,US BANK FOUNDATION,WI,100.0,0.999999999999996,3,False
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999999811058,4,False
770443347,Cisco Systems Foundation,CA,100.0,0.9999996318508625,5,False
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.9999988945402921,6,False
131684331,THE FORD FOUNDATION,NY,100.0,0.9999759419858331,7,False
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999657713457383,8,False
836582316,EBOR CHARITABLE TRUST,WY,99.9,0.9994112426906588,9,False
136123529,AMERICAN EXPRESS FOUNDATION,NY,99.9,0.9993234541593639,10,False
852700743,Ahimsa Foundation,CO,99.7,0.996690105986607,11,False
133127947,BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,99.6,0.9959653668200061,12,False
222621967,GE FOUNDATION,CT,99.2,0.9919632539748507,13,False
460827839,AbbVie Foundation,IL,98.6,0.9862769224720576,14,False
236648842,THE CHANTICLEER CHARITABLE TRUST,MO,98.4,0.9843450540241815,15,False
873822505,WRAGE FOUNDATION,MD,97.9,0.9793794164240821,16,False
364242179,GRATIOT LAKE CONSERVANCY,IL,97.7,0.9772743919968316,17,False
262456949,CHUBB CHARITABLE FOUNDATION,PA,97.5,0.9753560320909243,18,False
942566167,Nora Eccles Treadwell Charitable Trust,UT,97.3,0.9731527107678349,19,False
814004783,M M Chaudry Family Foundation,IL,97.0,0.9703287186125964,20,False
263753801,FOUNDATION TO PROMOTE OPEN SOCIETY,NY,97.0,0.969655003178528,21,False
581586283,DUKE ENERGY FOUNDATION,NC,96.6,0.9655736838031398,22,False
510260302,LYNN & FOSTER FRIESS FAMILY,WY,95.6,0.9558657376442107,23,False
261595630,Cervi Family Foundation,OK,95.3,0.9526313438878516,24,False
854314099,HARRAH FAMILY FOUNDATION,NC,94.8,0.9484221884713468,25,False
202202134,Nelnet Foundation,NE,94.5,0.9453326885212987,26,False
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,93.1,0.9311966432572532,27,False
046019065,CHARLES H MULLLIGAN TUW-SPFD HOM,TX,92.8,0.9280822000187111,28,False
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,92.7,0.9272795179106209,29,False
680474336,Wma Foundation,CA,92.4,0.9243185801032656,30,False
261608957,Stacey Elizabeth Mayer Foundation Inc,WI,92.3,0.923016480320439,31,False
131677403,Helen Hay Whitney Foundation,NY,92.2,0.9221230771803302,32,False
651162899,N WOODBURN NICHOLS FOUNDATION INC,MA,91.9,0.918944072418599,33,False
237241940,AETNA FOUNDATION INC,CT,91.1,0.9109418349129965,34,False
436886268,The Lesley Waldheim Charitable Foundation,MO,90.8,0.9078854593240872,35,False
943089624,DOYON FOUNDATION,AK,90.7,0.9068229933442126,36,False
362899320,Conagra Brands Foundation,NE,90.6,0.9058019736342574,37,False
137029285,OPEN SOCIETY INSTITUTE,NY,89.5,0.8949246108367882,38,False
756038519,TEXAS INSTRUMENTS FOUNDATION,TX,88.2,0.8824569596954732,39,False
056067971,TRUSTEE UWO INEZ SPRAGUE,TX,87.2,0.8717648695482684,40,False
716151753,M K Charitable Trust,AR,87.0,0.8703637955812096,41,False
651104291,Jehovah - Jireh Foundation,MD,86.9,0.8687396110735444,42,False
942278431,The David and Lucile Packard Foundation,CA,85.6,0.8558385536462245,43,False
136069096,WILLIAM MATHEUS SULLIVAN MUSICAL FOUNDATION INC,MO,84.6,0.8461732963158196,44,False
010541580,ROSS POWERS FOUNDATION,ME,84.5,0.8446838319572938,45,False
383681796,CARMAX FOUNDATION,VA,84.3,0.8433750031685341,46,False
862918677,SNAIL FOUNDATION,VA,84.2,0.8418014156341868,47,False
341479099,RL AND ETTA L TRIPLETT,OH,83.6,0.8355854296916325,48,False
870646265,THE MCCARTHEY DRESSMAN EDUCATION FOUNDATION,UT,83.4,0.8335935576328624,49,False
454126770,Henry and Sara Sheehan Foundation,IL,82.8,0.8278931697614722,50,False
